CustomerID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.0000,0.8570,0.3315,0.7621,0.2968,0.6741,0.3124,0.6134,0.5393,0.6814,0.2997,0.6261,0.5395,0.7174,0.2987,0.7775,0.3093,0.8351,0.0488,0.8629,0.5423,0.6741,0.0504,0.7714,0.3094,0.8319,0.0338,0.7853,0.3111,0.8090,0.0464,0.8610,0.5397,0.6919,0.3088,0.6418,0.5398,0.6956,0.3034,0.7998,0.3135,0.8226,0.0440,0.8421,0.5381,0.6385,0.3047,0.7777,0.3202,0.8331,0.0308,0.8103,0.3162,0.6932,0.3047,0.7674,0.3067,0.8046,0.0370,0.8399,0.5387,0.6561,0.3077,0.7604,0.3036,0.7981,0.0297,0.8176,0.5390,0.6869,0.3095,0.7657,0.3038,0.8113,0.0329,0.8345,0.5387,0.6571,0.3074,0.7567,0.3035,0.8217,0.0348,0.8001,0.5395,0.6579,0.3131,0.7652,0.3066,0.8145,0.0365,0.8362,0.5390,0.6690,0.3076,0.7589,0.3037,0.7938,0.0314,0.8215
2,0.8570,0.0000,0.9402,0.2692,0.5657,0.6099,0.5126,0.5617,0.3287,0.6324,0.5487,0.5751,0.3152,0.6724,0.5784,0.2513,0.6369,0.2572,0.9374,0.2710,0.3254,0.6233,0.8083,0.2558,0.6249,0.2577,0.9267,0.2482,0.6081,0.2505,0.9772,0.2740,0.3235,0.6454,0.5335,0.5962,0.3350,0.6569,0.5878,0.2478,0.6424,0.2512,0.9582,0.2666,0.3178,0.5849,0.5760,0.2535,0.6577,0.2569,0.8973,0.2517,0.6080,0.6476,0.5633,0.2586,0.6188,0.2538,0.9461,0.2607,0.3179,0.6005,0.5367,0.2640,0.6041,0.2538,0.9115,0.2500,0.3247,0.6356,0.5751,0.2564,0.5988,0.2526,0.9357,0.2563,0.3224,0.6100,0.5585,0.2672,0.5887,0.2554,0.9219,0.2512,0.3281,0.5998,0.5707,0.2592,0.6151,0.2562,0.9470,0.2598,0.3192,0.6181,0.5799,0.2648,0.6048,0.2539,0.9035,0.2542
3,0.3315,0.9402,0.0000,0.8173,0.2977,0.4114,0.5752,0.6335,0.5559,0.3947,0.5521,0.6336,0.5576,0.4211,0.5422,0.8476,0.2830,0.6382,0.2728,0.8918,0.5454,0.3924,0.2919,0.8360,0.2747,0.6248,0.2783,0.8516,0.2794,0.6349,0.2919,0.8831,0.5549,0.4036,0.5523,0.6436,0.5518,0.4045,0.5370,0.8595,0.2775,0.6360,0.2826,0.8686,0.5660,0.3700,0.5358,0.8403,0.2742,0.6405,0.2760,0.8603,0.2808,0.4029,0.5371,0.8307,0.2747,0.6261,0.2834,0.8745,0.5581,0.3841,0.5498,0.8241,0.2773,0.6228,0.2776,0.8684,0.5591,0.4022,0.5334,0.8347,0.2781,0.6277,0.2808,0.8753,0.5574,0.3769,0.5369,0.8194,0.2815,0.6229,0.2758,0.8524,0.5590,0.3870,0.5301,0.8283,0.2749,0.6209,0.2825,0.8713,0.5544,0.3908,0.5326,0.8216,0.2770,0.6221,0.2754,0.8642
4,0.7621,0.2692,0.8173,0.0000,0.6207,0.6361,0.3607,0.3337,0.3267,0.6494,0.4058,0.3500,0.3391,0.7085,0.4541,0.0074,0.7804,0.2334,0.8107,0.0761,0.3519,0.6396,0.6203,0.0033,0.7394,0.2299,0.8069,0.0098,0.6574,0.2013,0.8877,0.0751,0.3313,0.6753,0.3726,0.3853,0.3272,0.6990,0.4556,0.0186,0.7779,0.2165,0.8545,0.0516,0.3138,0.5762,0.4353,0.0053,0.7934,0.2315,0.7575,0.0262,0.6414,0.6761,0.4156,0.0022,0.7220,0.1950,0.8401,0.0508,0.3309,0.6051,0.3786,0.0009,0.6923,0.1874,0.7865,0.0297,0.3195,0.6577,0.4223,0.0033,0.6762,0.2025,0.8230,0.0445,0.3256,0.6171,0.4039,0.0009,0.6530,0.2143,0.7987,0.0152,0.3160,0.6039,0.4107,0.0022,0.7111,0.2054,0.8391,0.0449,0.3325,0.6364,0.4329,0.0009,0.6936,0.1815,0.7702,0.0315
5,0.2968,0.5657,0.2977,0.6207,0.0000,0.6860,0.4375,0.5884,0.2124,0.6811,0.4307,0.6016,0.2133,0.7295,0.4546,0.6552,0.0352,0.7432,0.2959,0.7827,0.2107,0.6755,0.2215,0.6421,0.0236,0.7347,0.2939,0.6675,0.0085,0.7031,0.3396,0.7763,0.2123,0.7021,0.4147,0.6302,0.2113,0.7157,0.4508,0.6893,0.0353,0.7248,0.3189,0.7456,0.2166,0.6214,0.4406,0.6520,0.0410,0.7407,0.2688,0.7027,0.0102,0.7011,0.4292,0.6344,0.0175,0.6923,0.3127,0.7463,0.2130,0.6487,0.4186,0.6223,0.0107,0.6813,0.2831,0.7158,0.2141,0.6895,0.4300,0.6347,0.0082,0.7038,0.2999,0.7401,0.2128,0.6501,0.4225,0.6154,0.0053,0.7182,0.2875,0.6858,0.2147,0.6498,0.4221,0.6308,0.0156,0.7056,0.3093,0.7399,0.2119,0.6708,0.4344,0.6193,0.0110,0.6744,0.2751,0.7185
6,0.6741,0.6099,0.4114,0.6361,0.6860,0.0000,0.8850,0.2958,0.8971,0.0046,0.9269,0.2860,0.8939,0.0158,0.9295,0.6096,0.6711,0.3133,0.6831,0.5695,0.8947,0.0022,0.6837,0.6178,0.6637,0.3218,0.6801,0.6000,0.6990,0.3399,0.6941,0.5661,0.8933,0.0045,0.9135,0.2833,0.8983,0.0060,0.9378,0.5876,0.6697,0.3286,0.6868,0.5795,0.8867,0.0073,0.9272,0.6093,0.6759,0.3131,0.6843,0.5751,0.7037,0.0059,0.9215,0.6209,0.6705,0.3444,0.6820,0.5692,0.8922,0.0027,0.9102,0.6310,0.6697,0.3539,0.6775,0.5799,0.8899,0.0052,0.9307,0.6213,0.6710,0.3394,0.6874,0.5746,0.8914,0.0036,0.9189,0.6343,0.6717,0.3316,0.6815,0.5928,0.8894,0.0028,0.9229,0.6221,0.6710,0.3362,0.6895,0.5752,0.8884,0.0017,0.9333,0.6318,0.6699,0.3623,0.6782,0.5794
7,0.3124,0.5126,0.5752,0.3607,0.4375,0.8850,0.0000,0.7928,0.1836,0.8859,0.0126,0.8018,0.1855,0.9341,0.0258,0.3880,0.5494,0.4664,0.3400,0.5051,0.1889,0.8804,0.2272,0.3783,0.5189,0.4602,0.3351,0.3981,0.4541,0.4305,0.3920,0.5003,0.1837,0.9117,0.0081,0.8399,0.1844,0.9364,0.0280,0.4175,0.5467,0.4483,0.3694,0.4706,0.1815,0.8234,0.0215,0.3859,0.5581,0.4644,0.3017,0.4285,0.4429,0.9109,0.0169,0.3727,0.5050,0.4204,0.3579,0.4698,0.1838,0.8506,0.0073,0.3631,0.4832,0.4109,0.3219,0.4399,0.1820,0.8942,0.0202,0.3740,0.4715,0.4300,0.3461,0.4632,0.1831,0.8605,0.0149,0.3584,0.4553,0.4421,0.3312,0.4125,0.1815,0.8489,0.0194,0.3712,0.4960,0.4312,0.3569,0.4623,0.1845,0.8798,0.0235,0.3621,0.4843,0.4036,0.3115,0.4419
8,0.6134,0.5617,0.6335,0.3337,0.5884,0.2958,0.7928,0.0000,0.7768,0.3006,0.8260,0.0033,0.7817,0.3251,0.8444,0.3139,0.6155,0.5145,0.6331,0.2715,0.7861,0.2968,0.5903,0.3187,0.6015,0.5208,0.6284,0.3047,0.6081,0.5131,0.6585,0.2705,0.7772,0.3087,0.8065,0.0063,0.7767,0.3167,0.8493,0.2920,0.6147,0.5169,0.6451,0.2751,0.7665,0.2795,0.8363,0.3113,0.6219,0.5125,0.6195,0.2839,0.6087,0.3091,0.8250,0.3224,0.6018,0.5132,0.6384,0.2729,0.7770,0.2858,0.8074,0.3324,0.5950,0.5151,0.6213,0.2823,0.7702,0.3028,0.8330,0.3241,0.5926,0.5157,0.6363,0.2756,0.7736,0.2892,0.8192,0.3367,0.5885,0.5198,0.6268,0.2932,0.7681,0.2857,0.8234,0.3236,0.6005,0.5166,0.6422,0.2756,0.7750,0.2947,0.8379,0.3330,0.5955,0.5175,0.6180,0.2806
9,0.5393,0.3287,0.5559,0.3267,0.2124,0.8971,0.1836,0.7768,0.0000,0.8955,0.1928,0.7910,0.0017,0.9542,0.2277,0.3635,0.3309,0.4670,0.5498,0.5105,0.0037,0.8891,0.3887,0.3498,0.2990,0.4561,0.5505,0.3774,0.2313,0.4207,0.6254,0.5047,0.0003,0.9256,0.1717,0.8358,0.0002,0.9515,0.2247,0.4020,0.3281,0.4435,0.5928,0.4669,0.0012,0.8181,0.2109,0.3605,0.3386,0.4650,0.5036,0.4178,0.2210,0.9242,0.1967,0.3423,0.2837,0.4084,0.5824,0.4681,0.0007,0.8526,0.1764,0.3295,0.2617,0.3956,0.5326,0.4310,0.0003,0.9052,0.1984,0.3433,0.2502,0.4202,0.5633,0.4596,0.0002,0.8611,0.1882,0.3229,0.2344,0.4354,0.5410,0.3963,0.0005,0.8516,0.1902,0.3393,0.2753,0.4221,0.5780,0.4590,0.0010,0.8859,0.2056,0.3271,0.2628,0.3866,0.5170,0.4339
10,0.6814,0.6324,0.3947,0.6494,0.6811,0.0046,0.8859,0.3006,0.8955,0.0000,0.9230,0.2865,0.8926,0.0056,0.9185,0.6263,0.6592,0.3247,0.6621,0.5749,0.8889,0.0008,0.6759,0.6330,0.6484,0.3326,0.6639,0.6151,0.6858,0.3540,0.6765,0.5691,0.8911,0.0010,0.9103,0.2823,0.8953,0.0046,0.9254,0.6007,0.6546,0.3424,0.6680,0.5841,0.8880,0.0101,0.9152,0.6238,0.6580,0.3245,0.6704,0.5851,0.6896,0.0008,0.9115,0.6357,0.6562,0.3568,0.6651,0.5754,0.8910,0.0040,0.9055,0.6463,0.6569,0.3668,0.6625,0.5906,0.8890,0.0003,0.9191,0.6376,0.6584,0.3523,0.6718,0.5827,0.8900,0.0036,0.9094,0.6493,0.6601,0.3429,0.6647,0.6041,0.8883,0.0034,0.9105,0.6367,0.6569,0.3471,0.6731,0.5817,0.8857,0.0018,0.9209,0.6468,0.6569,0.3761,0.6631,0.5878
