CustomerID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.0000,2.5239,1.5331,2.7670,1.5592,2.1874,1.6811,2.0774,2.4231,2.2186,1.5973,2.1075,2.3159,2.3084,1.5299,2.7208,1.4679,2.6072,0.5922,2.5252,2.2943,2.1915,0.6968,2.7282,1.4984,2.5719,0.4869,2.6870,1.5856,2.6521,0.5610,2.5294,2.3779,2.2220,1.6949,2.1156,2.4467,2.2007,1.5547,2.6379,1.4868,2.6099,0.5509,2.5283,2.4552,2.1310,1.5831,2.7049,1.5059,2.6226,0.4770,2.6237,1.6283,2.2332,1.6120,2.7488,1.5027,2.6576,0.5042,2.5517,2.3626,2.1644,1.6734,2.7890,1.5126,2.6648,0.4599,2.5869,2.4473,2.2356,1.6303,2.7635,1.5276,2.6298,0.4780,2.5528,2.4050,2.1544,1.6437,2.8148,1.5464,2.5922,0.4974,2.6219,2.4806,2.1759,1.6678,2.7557,1.5094,2.6170,0.5015,2.5482,2.3620,2.1764,1.6085,2.7923,1.5125,2.6720,0.4781,2.5742
2,2.5239,0.0000,2.6880,1.7437,2.2066,2.1675,2.1837,2.0723,1.9671,2.2243,2.2053,2.1042,1.8367,2.3224,2.1941,1.6332,2.1964,1.5045,2.6858,1.4716,1.8406,2.1948,2.6379,1.6603,2.2129,1.4870,2.6499,1.5883,2.2772,1.5423,2.6856,1.4833,1.9127,2.2350,2.2502,2.1265,2.0043,2.2303,2.2262,1.5345,2.2171,1.5013,2.6790,1.4777,1.9686,2.1245,2.2308,1.6271,2.2476,1.5157,2.6381,1.5248,2.3096,2.2467,2.2365,1.6905,2.2149,1.5608,2.6591,1.4766,1.8856,2.1564,2.2381,1.7488,2.2087,1.5734,2.6369,1.4878,1.9785,2.2372,2.2661,1.6979,2.2152,1.5304,2.6541,1.4694,1.9350,2.1632,2.2528,1.7850,2.2184,1.5031,2.6534,1.5332,2.0166,2.1627,2.2872,1.7007,2.2165,1.5288,2.6636,1.4751,1.8883,2.1797,2.2575,1.7560,2.2093,1.5839,2.6389,1.4884
3,1.5331,2.6880,0.0000,2.8927,1.5779,1.7390,2.2729,2.1489,2.4756,1.7177,2.1726,2.1574,2.3740,1.7988,2.0818,2.8709,1.4296,2.3169,1.4158,2.6106,2.3228,1.7014,1.5641,2.8695,1.4345,2.2659,1.4185,2.8306,1.5210,2.3882,1.4344,2.6048,2.4287,1.7268,2.2528,2.1569,2.4895,1.7087,2.0862,2.7702,1.4232,2.3327,1.4212,2.6097,2.5301,1.6507,2.1118,2.8427,1.4177,2.3375,1.4298,2.7407,1.5523,1.7321,2.1455,2.8879,1.4439,2.3833,1.4218,2.6452,2.4222,1.6850,2.2279,2.9290,1.4663,2.3933,1.4215,2.7050,2.5066,1.7400,2.1450,2.9122,1.4812,2.3514,1.4203,2.6555,2.4621,1.6606,2.1719,2.9533,1.5083,2.2944,1.4179,2.7427,2.5378,1.6978,2.1688,2.8947,1.4507,2.3229,1.4212,2.6424,2.4136,1.6928,2.1251,2.9307,1.4651,2.4051,1.4237,2.6797
4,2.7670,1.7437,2.8927,0.0000,2.6318,2.5706,2.0646,1.9096,2.0955,2.6085,2.1584,1.9524,2.0727,2.7417,2.2403,0.3178,2.8152,1.6492,2.8830,1.0381,2.0964,2.5798,2.6322,0.2152,2.7762,1.6327,2.8612,0.3798,2.6986,1.5530,2.9658,1.0296,2.0834,2.6481,2.1103,2.0337,2.1107,2.6727,2.2516,0.5318,2.8209,1.5951,2.9281,0.8887,2.0745,2.4553,2.2175,0.2817,2.8512,1.6465,2.7988,0.6241,2.6917,2.6558,2.1846,0.1715,2.7556,1.5318,2.9025,0.8686,2.0742,2.5149,2.1168,0.1140,2.7174,1.5063,2.8331,0.6814,2.0872,2.6298,2.2055,0.2056,2.6999,1.5518,2.8816,0.8236,2.0821,2.5310,2.1685,0.1305,2.6723,1.5847,2.8550,0.5032,2.0954,2.5178,2.1922,0.1692,2.7423,1.5593,2.9032,0.8309,2.0786,2.5694,2.2223,0.1186,2.7194,1.4863,2.8151,0.7071
5,1.5592,2.2066,1.5779,2.6318,0.0000,2.3834,2.0724,2.2015,1.6251,2.3919,2.0119,2.2328,1.5456,2.5031,2.0096,2.6393,0.5908,2.6267,1.5740,2.5878,1.5170,2.3689,1.4249,2.6282,0.4810,2.5856,1.5608,2.6232,0.2791,2.6278,1.6608,2.5833,1.5887,2.4163,2.0375,2.2696,1.6391,2.4152,2.0128,2.6024,0.5856,2.6128,1.6183,2.5543,1.6673,2.2712,2.0116,2.6190,0.6220,2.6382,1.5053,2.6008,0.3107,2.4225,2.0101,2.6364,0.4177,2.6183,1.6019,2.5783,1.5809,2.3237,2.0310,2.6567,0.3277,2.6127,1.5359,2.5836,1.6507,2.4134,2.0174,2.6521,0.2850,2.6068,1.5733,2.5754,1.6130,2.3163,2.0158,2.6703,0.2248,2.5870,1.5479,2.5818,1.6790,2.3329,2.0231,2.6382,0.3927,2.5949,1.5946,2.5690,1.5760,2.3548,2.0132,2.6556,0.3328,2.6118,1.5195,2.5723
6,2.1874,2.1675,1.7390,2.5706,2.3834,0.0000,2.8086,1.4698,3.0960,0.1884,2.8078,1.4509,2.9750,0.3577,2.7247,2.4526,2.2032,1.6343,2.2424,2.0885,2.9466,0.1277,2.3813,2.4846,2.2313,1.6339,2.2195,2.3912,2.3944,1.7667,2.2119,2.0881,3.0407,0.1822,2.8807,1.4325,3.1222,0.2107,2.7549,2.3018,2.2131,1.6895,2.2171,2.1347,3.1159,0.2313,2.7732,2.4371,2.2278,1.6475,2.2536,2.2505,2.4382,0.2115,2.8025,2.5160,2.2566,1.7878,2.2068,2.1382,3.0244,0.1427,2.8528,2.5844,2.2776,1.8256,2.2229,2.2174,3.1108,0.2030,2.8244,2.5331,2.2979,1.7449,2.2239,2.1560,3.0685,0.1626,2.8302,2.6212,2.3232,1.6846,2.2308,2.2970,3.1441,0.1473,2.8487,2.5283,2.2666,1.7233,2.2216,2.1510,3.0170,0.1117,2.8062,2.5916,2.2773,1.8576,2.2362,2.2002
7,1.6811,2.1837,2.2729,2.0646,2.0724,2.8086,0.0000,2.6521,1.5273,2.8290,0.3665,2.6749,1.4652,2.9354,0.5365,2.0904,2.2106,2.1525,1.7639,2.1637,1.4622,2.8054,1.4975,2.0760,2.1769,2.1197,1.7450,2.0862,2.1040,2.1211,1.8668,2.1578,1.4971,2.8559,0.2949,2.7191,1.5464,2.8663,0.5501,2.0889,2.2136,2.1239,1.8221,2.1088,1.5431,2.7128,0.4789,2.0739,2.2391,2.1594,1.6692,2.0969,2.1008,2.8635,0.4205,2.0793,2.1574,2.1039,1.7941,2.1225,1.4889,2.7606,0.2768,2.0887,2.1256,2.0912,1.7148,2.0948,1.5382,2.8498,0.4575,2.0949,2.1116,2.1033,1.7690,2.1129,1.5138,2.7650,0.3933,2.0982,2.0908,2.0993,1.7385,2.0662,1.5591,2.7661,0.4483,2.0824,2.1444,2.0951,1.7926,2.1069,1.4909,2.7978,0.4944,2.0899,2.1276,2.0817,1.6924,2.0883
8,2.0774,2.0723,2.1489,1.9096,2.2015,1.4698,2.6521,0.0000,2.8855,1.4946,2.6429,0.1567,2.7814,1.5767,2.5875,1.7964,2.1009,2.0783,2.1498,1.4381,2.7601,1.4751,2.2067,1.8238,2.1156,2.0652,2.1243,1.7331,2.2268,2.1488,2.1449,1.4396,2.8384,1.5055,2.7017,0.2130,2.9089,1.5069,2.6124,1.6409,2.1114,2.1017,2.1393,1.4689,2.9033,1.4302,2.6251,1.7758,2.1279,2.0897,2.1354,1.5951,2.2620,1.5127,2.6439,1.8568,2.1295,2.1597,2.1259,1.4808,2.8240,1.4491,2.6809,1.9283,2.1389,2.1790,2.1198,1.5548,2.8998,1.5057,2.6644,1.8766,2.1518,2.1312,2.1304,1.4942,2.8622,1.4499,2.6652,1.9679,2.1675,2.0935,2.1303,1.6311,2.9294,1.4543,2.6840,1.8695,2.1359,2.1178,2.1348,1.4895,2.8193,1.4654,2.6507,1.9349,2.1391,2.1965,2.1257,1.5365
9,2.4231,1.9671,2.4756,2.0955,1.6251,3.0960,1.5273,2.8855,0.0000,3.1105,1.5570,2.9171,0.2113,3.2352,1.6745,2.1744,1.9620,2.3571,2.4640,2.4030,0.2870,3.0866,2.1520,2.1416,1.8824,2.3173,2.4565,2.1932,1.6882,2.2790,2.5859,2.3934,0.0931,3.1477,1.4830,2.9783,0.0643,3.1640,1.6654,2.2290,1.9564,2.3090,2.5334,2.3187,0.1379,2.9660,1.6202,2.1581,1.9837,2.3607,2.3714,2.2576,1.6570,3.1534,1.5716,2.1315,1.8409,2.2517,2.5117,2.3324,0.1242,3.0279,1.4995,2.1166,1.7788,2.2250,2.4237,2.2711,0.0711,3.1337,1.5783,2.1433,1.7449,2.2658,2.4783,2.3161,0.0583,3.0322,1.5422,2.1118,1.6964,2.2815,2.4416,2.2067,0.1135,3.0335,1.5510,2.1275,1.8175,2.2630,2.5045,2.3118,0.1443,3.0754,1.6028,2.1122,1.7820,2.2063,2.3967,2.2706
10,2.2186,2.2243,1.7177,2.6085,2.3919,0.1884,2.8290,1.4946,3.1105,0.0000,2.8221,1.4646,2.9908,0.2157,2.7294,2.4974,2.2026,1.6723,2.2262,2.1150,2.9554,0.0810,2.3845,2.5265,2.2236,1.6704,2.2119,2.4334,2.3890,1.8095,2.2034,2.1098,3.0545,0.0882,2.8950,1.4430,3.1343,0.1958,2.7574,2.3407,2.2066,1.7325,2.2057,2.1594,3.1347,0.2771,2.7755,2.4779,2.2167,1.6850,2.2491,2.2837,2.4305,0.0770,2.8072,2.5571,2.2504,1.8262,2.1985,2.1652,3.0400,0.1744,2.8648,2.6261,2.2734,1.8648,2.2170,2.2523,3.1260,0.0527,2.8269,2.5770,2.2935,1.7852,2.2176,2.1866,3.0834,0.1685,2.8353,2.6621,2.3201,1.7217,2.2219,2.3327,3.1589,0.1611,2.8493,2.5689,2.2603,1.7589,2.2142,2.1787,3.0300,0.1214,2.8078,2.6325,2.2728,1.8986,2.2296,2.2310
