CustomerID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.0000,7.4637,3.4209,8.9482,3.3687,5.6444,4.0578,4.8698,7.1117,5.7605,3.6057,5.0110,6.6914,6.2522,3.1448,8.5936,2.9285,7.7719,1.4142,7.1130,6.5760,5.6514,1.3975,8.7034,3.0680,7.5794,1.1633,8.4060,3.1729,8.1125,1.2775,7.1375,6.9527,5.9023,4.0886,5.1775,7.1953,5.9456,3.1829,8.0759,3.0852,7.8709,1.3175,7.2729,7.2906,5.1293,3.4113,8.5676,3.2319,7.8569,1.0329,7.9912,3.3592,5.9297,3.6323,8.8295,3.0120,8.1719,1.2112,7.4433,6.9010,5.3970,4.0071,9.0335,2.9204,8.2732,1.0864,7.7761,7.2453,5.8481,3.6074,8.8754,3.0033,8.0159,1.1414,7.4929,7.0762,5.4234,3.7929,9.1682,3.1724,7.7968,1.1840,8.0336,7.3713,5.4217,3.8072,8.8786,3.0059,7.9528,1.1925,7.4728,6.9177,5.5974,3.4873,9.0654,2.9290,8.3426,1.0895,7.7043
2,7.4637,0.0000,8.5513,4.2924,5.7660,5.7669,5.5353,5.2135,4.7893,5.9571,5.7032,5.4383,4.3022,6.3747,5.8590,3.9378,6.1255,2.9645,8.5446,2.8841,4.1202,5.8479,7.8940,4.0476,6.1318,2.8996,8.3604,3.7502,6.2856,3.4101,8.5413,3.0003,4.5635,6.0248,5.8328,5.5411,4.8728,6.0681,6.0155,3.4201,6.2156,3.0756,8.5145,2.8797,4.9015,5.5395,5.9078,3.9118,6.3623,3.0151,8.2966,3.2889,6.3405,6.0521,5.7797,4.1737,6.1424,3.5161,8.4083,2.8031,4.5119,5.6400,5.6846,4.3777,6.0508,3.6174,8.2834,3.0273,4.8561,5.9706,5.9528,4.2196,6.0367,3.3136,8.4052,2.7838,4.6870,5.7129,5.7398,4.5124,5.9709,3.0480,8.3810,3.3778,4.9822,5.6647,5.9201,4.2228,6.1363,3.2504,8.4563,2.7809,4.4619,5.7198,5.9988,4.4096,6.0594,3.6868,8.2866,2.9555
3,3.4209,8.5513,0.0000,9.1641,3.5056,4.0445,6.2272,5.8712,7.1819,3.7942,5.8092,5.8464,6.6949,3.9820,5.2150,9.0696,2.4925,6.7854,2.1433,8.2006,6.5128,3.8166,3.4677,9.0124,2.4661,6.5189,2.2576,9.0027,3.3098,6.9778,2.5378,8.1510,6.9562,3.7529,6.2255,5.7435,7.2655,3.6927,5.3198,8.8672,2.3357,6.8104,2.2974,8.1383,7.2941,3.8785,5.4814,8.9231,2.1890,6.8704,2.4621,8.7825,3.4961,3.7457,5.7025,9.0919,2.5760,6.8891,2.2722,8.3827,6.9045,3.9113,6.0773,9.2495,2.7882,6.8698,2.3346,8.6414,7.2488,3.8474,5.7442,9.1378,2.9229,6.8072,2.2795,8.4323,7.0797,3.7717,5.8630,9.3376,3.1093,6.5881,2.2369,8.6768,7.3748,3.9532,5.8774,9.0945,2.6561,6.6700,2.2909,8.3382,6.8546,3.8315,5.6242,9.2348,2.7796,6.8652,2.3314,8.4956
4,8.9482,4.2924,9.1641,0.0000,8.2306,7.8593,5.0851,4.9252,5.2852,7.9754,5.8077,5.1224,5.2508,8.4671,6.1755,0.6581,8.8865,4.0291,9.0834,2.4011,5.4868,7.8663,8.0624,0.4126,8.7446,3.9285,9.0473,0.8088,8.4540,3.4823,9.4228,2.3968,5.2772,8.1172,5.5659,5.3924,5.3688,8.1605,6.1839,1.2057,8.9025,3.7502,9.2755,2.0350,4.9858,7.3442,6.0761,0.5806,9.0492,4.0107,8.8354,1.4702,8.5089,8.1445,5.9481,0.3210,8.6811,3.3763,9.1693,2.0445,5.2083,7.6119,5.6009,0.2335,8.5154,3.2083,8.9703,1.5985,5.1517,8.0630,6.1212,0.3441,8.4273,3.5121,9.1661,1.9282,5.2002,7.6382,5.9082,0.2941,8.2874,3.7111,9.0679,1.1812,5.1462,7.6366,6.0885,0.2892,8.6010,3.5753,9.2172,1.9482,5.2381,7.8122,6.1672,0.2654,8.5240,3.0722,8.8994,1.6703
5,3.3687,5.7660,3.5056,8.2306,0.0000,6.8799,5.2937,5.9457,3.7430,6.9959,4.4896,6.1429,3.3226,7.4876,4.4388,8.2842,1.3473,8.0000,3.4713,7.5186,3.2072,6.8868,2.3342,8.1530,1.1062,7.7335,3.4616,8.2173,0.5662,8.1925,3.9100,7.4173,3.5839,7.1378,4.8129,6.4129,3.8265,7.1810,4.4821,8.0818,1.3370,8.0250,3.7363,7.3529,3.9219,6.3647,4.3945,8.1377,1.3907,8.0851,3.0900,7.9972,0.5745,7.1651,4.3566,8.1584,0.9296,8.1037,3.6766,7.5973,3.5323,6.6324,4.7779,8.3160,0.7174,8.0845,3.3381,7.8561,3.8765,7.0836,4.3316,8.2784,0.6568,8.0219,3.5138,7.6470,3.7074,6.6588,4.4706,8.4041,0.5445,7.8027,3.3892,7.8914,4.0026,6.6571,4.4385,8.1610,0.8494,7.8846,3.6114,7.5528,3.5490,6.8328,4.3258,8.3013,0.7260,8.0798,3.2207,7.7102
6,5.6444,5.7669,4.0445,7.8593,6.8799,0.0000,9.3022,2.9341,10.5562,0.4503,9.1834,2.7369,10.0692,0.7749,8.5892,7.3047,5.6187,3.8303,6.0378,5.4582,9.8871,0.2946,6.8419,7.4812,5.7737,3.9308,5.8536,7.0505,6.6840,4.3771,6.0345,5.4625,10.3305,0.4250,9.5997,2.4670,10.6397,0.4143,8.6941,6.6537,5.7088,4.1092,6.0077,5.8243,10.6684,0.5151,8.8557,7.2787,5.8555,3.8487,5.7898,6.3892,6.8703,0.4988,9.0768,7.6072,5.9503,4.4830,5.9015,5.8148,10.2788,0.2475,9.4516,7.8780,6.1625,4.6510,5.7766,6.2608,10.6231,0.4638,9.1185,7.6532,6.2971,4.3472,5.8984,5.9311,10.4539,0.2728,9.2373,8.0126,6.4835,4.1482,5.8742,6.6781,10.7491,0.2894,9.2517,7.6564,6.0304,4.2840,5.9495,5.9111,10.2288,0.2130,8.9985,7.9099,6.1539,4.7871,5.7798,6.1890
7,4.0578,5.5353,6.2272,5.0851,5.2937,9.3022,0.0000,8.3681,3.2540,9.4183,0.8707,8.5653,2.7670,9.9100,1.2385,5.4350,5.9495,5.4719,4.1464,5.8440,2.5849,9.3091,3.1254,5.3037,5.8076,5.3714,4.1103,5.3681,5.4430,5.3432,4.5324,5.8397,3.0283,9.5601,0.4807,8.8352,3.3375,9.6034,1.2469,5.2326,5.9655,5.2103,4.3385,5.4779,3.3662,8.7871,1.0651,5.2885,6.1123,5.4535,3.8984,5.1479,5.4238,9.5874,0.9370,5.3092,5.7442,5.2545,4.2323,5.4874,2.9766,9.0547,0.5157,5.3186,5.5785,5.2353,4.0333,5.0758,3.3209,9.5059,1.0361,5.4292,5.4903,5.1727,4.2292,5.3710,3.1517,9.0811,0.8230,5.3327,5.3505,5.1540,4.1310,5.0422,3.4469,9.0794,1.0033,5.3118,5.6640,5.0699,4.2803,5.3911,2.9266,9.2551,1.0820,5.3040,5.5871,5.2306,3.9625,5.1132
8,4.8698,5.2135,5.8712,4.9252,5.9457,2.9341,8.3681,0.0000,9.6220,3.0502,8.2493,0.3402,9.1350,3.5419,7.6551,4.3705,5.4454,5.2295,5.8645,2.5241,8.9529,2.9411,5.9078,4.5471,5.4516,5.1300,5.6802,4.1163,5.8124,5.7096,5.8611,2.5951,9.3963,3.1920,8.6656,0.4672,9.7056,3.2353,7.7599,3.7195,5.5355,5.3750,5.8344,2.8902,9.7342,2.4190,7.9216,4.3446,5.6822,5.3145,5.6165,3.5884,5.9362,3.2194,8.1427,4.6731,5.4623,5.8155,5.7281,2.9474,9.3447,2.6867,8.5174,4.9439,5.3878,5.9168,5.6033,3.3267,9.6889,3.1378,8.1843,4.7190,5.4255,5.6131,5.7250,2.9970,9.5198,2.7131,8.3032,5.0785,5.5494,5.3474,5.7009,3.7439,9.8150,2.7114,8.3175,4.7222,5.4562,5.5499,5.7761,2.9769,9.2947,2.8870,8.0643,4.9757,5.4137,5.9863,5.6065,3.2549
9,7.1117,4.7893,7.1819,5.2852,3.7430,10.5562,3.2540,9.6220,0.0000,10.6723,3.5061,9.8193,0.4870,11.1639,3.9669,5.6351,5.0237,6.7259,7.1477,7.0980,0.6691,10.5631,5.7143,5.5038,4.7825,6.6253,7.1379,5.6372,3.9388,6.1791,7.5864,7.0937,0.2257,10.8141,3.0231,10.0892,0.1180,10.8573,3.9288,5.9025,5.0133,6.4470,7.4127,6.7318,0.2994,10.0410,3.7005,5.4886,5.0670,6.7075,6.7663,6.1670,3.7525,10.8414,3.4794,5.5093,4.6059,6.0732,7.3529,6.7413,0.2774,10.3087,3.1046,5.5187,4.3937,5.9052,7.0145,6.2953,0.1335,10.7599,3.5044,5.6293,4.2590,6.2090,7.1901,6.6250,0.1195,10.3351,3.3189,5.5328,4.0727,6.4079,7.0656,5.8781,0.2596,10.3334,3.3045,5.5119,4.5258,6.2722,7.2877,6.6451,0.3273,10.5091,3.6244,5.5041,4.4023,5.7691,6.8971,6.3671
10,5.7605,5.9571,3.7942,7.9754,6.9959,0.4503,9.4183,3.0502,10.6723,0.0000,9.2995,2.8530,10.1853,0.4917,8.7053,7.4208,5.6486,3.9464,5.7875,5.5743,10.0032,0.1557,6.9580,7.5973,5.8898,4.0469,5.6033,7.1666,6.8001,4.4931,5.7842,5.5786,10.4466,0.2085,9.7158,2.5830,10.7558,0.4517,8.8101,6.7697,5.6590,4.2253,5.7574,5.9404,10.7845,0.6312,8.9718,7.3948,5.6397,3.9647,5.9059,6.5053,6.9864,0.1691,9.1929,7.7233,6.0664,4.5991,5.6512,5.9309,10.3949,0.3636,9.5677,7.9941,6.2786,4.7671,5.6578,6.3769,10.7392,0.0876,9.2346,7.7693,6.4132,4.4633,5.6481,6.0472,10.5700,0.3372,9.3534,8.1287,6.5996,4.2643,5.6240,6.7942,10.8652,0.3388,9.3677,7.7724,6.1465,4.4001,5.6992,6.0272,10.3449,0.2373,9.1145,8.0260,6.2700,4.9032,5.7752,6.3051
